Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2015-11-10,354.57,362.997,315.0,324.1,362.56877549,123230.95437,339.882975866
2015-11-09,350.0,360.0,342.65,357.473,126.07641982,44296.5273909,351.34664717
2015-11-08,354.88,359.86,345.0,349.97,144.91260592,51063.4016353,352.373772531
2015-11-07,348.39,360.0,344.2,354.89,119.57478792,42429.3660366,354.835386076
2015-11-06,363.731,373.75,336.01,346.49,574.98447365,200169.798969,348.130789859
2015-11-05,375.689,410.0,340.0,363.4,469.47873787,171970.332023,366.300575833
2015-11-04,348.95,440.0,345.0,375.689,830.53950817,334517.178204,402.770939748
2015-11-03,315.303,373.917,307.1,348.98,428.26294767,144889.393098,338.318768613
2015-11-02,283.611,320.01,283.611,315.302,383.18747711,115226.658797,300.705700683
2015-11-01,278.38,287.001,276.0,284.07,102.76720522,28953.0351408,281.734188244
2015-10-31,288.705,290.0,276.0,277.944,375.51577679,106210.819268,282.839832125
2015-10-30,280.0,296.54,280.0,288.78,293.35939078,84746.4140288,288.882567568
2015-10-29,275.0,285.0,269.988,280.0,446.52509405,124263.496419,278.290062698
2015-10-28,263.2,275.0,261.54,275.0,245.30022581,66068.0602526,269.335505234
2015-10-27,256.322,264.98,255.086,263.27,195.29057546,50732.9013547,259.781616369
2015-10-26,253.94,259.1,252.101,255.22,106.0736933,27264.4072341,257.032694779
2015-10-25,250.12,263.0,250.12,253.94,108.81983076,28090.9014443,258.141381475
2015-10-24,246.971,251.7,246.2,251.7,145.02254408,36072.668333,248.738350039
2015-10-23,242.2,248.0,241.111,246.27,212.10570305,52143.8026611,245.838758276
2015-10-22,231.006,244.113,231.006,240.01,400.34332476,94878.9588513,236.993982373
2015-10-21,235.0,236.0,228.0,232.155,153.47644154,35677.3942259,232.461698147
2015-10-20,229.7,236.2,229.697,235.0,93.72498756,21884.8423862,233.500616601
2015-10-19,226.39,232.0,225.061,229.38,126.18809971,28846.7272518,228.601011649
2015-10-18,233.1,235.495,225.88,226.18,116.10089797,26825.7863673,231.055804359
2015-10-17,226.26,236.19,226.26,233.1,108.06877613,25076.1881805,232.039161342
2015-10-16,221.292,232.01,220.76,226.26,159.13663582,35837.2257146,225.197834113
2015-10-15,220.033,224.0,218.0,221.292,100.37425602,22170.621239,220.87955735
2015-10-14,218.11,222.7,216.411,218.0,93.18146522,20349.587145,218.386640486
2015-10-13,212.0,222.5,210.8,218.11,385.43146824,84164.9068795,218.36542632
2015-10-12,215.0,215.882,210.009,212.0,247.66926156,52789.5565291,213.14537055
2015-10-11,212.972,216.61,211.606,215.0,51.20010876,10990.7902552,214.66341618
2015-10-10,211.4,214.0,210.65,213.0,38.21952654,8091.50874115,211.711380901
2015-10-09,212.0,212.74,210.05,211.4,65.8924971,13946.9408173,211.662046987
2015-10-08,214.121,215.376,212.0,212.0,33.20005606,7093.26762339,213.652278495
2015-10-07,216.0,217.0,210.03,214.124,104.49314411,22410.3686442,214.467358936
2015-10-06,210.67,218.254,209.628,215.92,123.30870239,26245.1888467,212.841335105
2015-10-05,210.592,212.88,207.15,210.67,97.06915133,20418.7429165,210.3525439
2015-10-04,208.794,212.0,207.1,209.4,54.75706254,11474.5657097,209.554077181
2015-10-03,208.01,211.87,207.0,208.58,127.05715969,26601.3363397,209.365110983
2015-10-02,210.5,212.88,208.01,208.01,86.0114554,18079.3837239,210.197393356
2015-10-01,208.196,211.95,207.71,211.768,59.10164131,12414.4365303,210.052314202
2015-09-30,209.073,212.999,207.1,208.19,140.9141089,29528.4251621,209.549103299
2015-09-29,209.02,210.345,206.8,207.7,73.95215908,15455.7187347,208.996179787
